doll_friend_s2_message,Description,Skip,Additional comments,Identifier iOS,Identifier Android,en-us text,tw text,cn text,th-th text,de text
"
# Common / back","Special card screen, Baby profile settings screen, Policy screen, User profile screen, E-Fence screen, Daily cover gallery screen, App Default toolbar, Introduction video screen ",,,back,back,Back,返回,返回,กลับ,Zurück
#Common / cancel,"General cancelation message, can be shown anywhere where cancelation is required delete device confirmation dialog, Change password screen",,,cancel ,cancel,Cancel,取消,取消,ยกเลิก,Stornieren
#Common / Close,,,,close,pairing_close_button,Close,離開,离开,ปิด,Schließen
#Common / confirm,Confirm button on verify email screen,,,confirm,code_verification_verify_button,Confirm,確認,确认,ยืนยัน,Bestätigen
#Common / day,"Splash screen, Baby Timeline screen, Welcome screen",,,day,day,Day,天,天,วัน,Tag
#Common / detection,"e-Fence settings screen, Detection settings screen, Crying settings screen, Device settings",,,detection,detection,Detection,偵測通知,侦测通知,การตรวจจับ,Erkennung
#Common / discard,"e-Fence settings screen, Detection settings screen, Crying settings screen, Device settings",,,discard,discard,Discard,取消,取消,ทิ้ง,Verwerfen
#Common / done,"Baby profile settings screen, Baby profile member settings, Special card view / edit screen, Reset password screen, User profile edit screen, Change password screen, Reset password screen",,,done ,done,Done,完成,完成,เสร็จแล้ว,Erledigt
#Common / error code,"Show error code when ""unknown error"" occurs.",,,error.code,sd_card_error_code,Error code: %s,錯誤代碼: %s,错误代码: %s,รหัสข้อผิดพลาด: %s,Fehlercode: %s
#Common / field check hint,Generic error message showed when user has not properly filled required fields,,[VIRTUS] Not found on the spec,userInputError,N/A,"An error has occurred, make sure all the fields are correct!",請確認所有欄位都填寫正確!,请确认所有栏位都填写正确!,เกิดข้อผิดพลาดตรวจสอบให้แน่ใจว่าฟิลด์ทั้งหมดถูกต้อง!,"Es ist ein Fehler aufgetreten. Stelle sicher, dass alle Felder korrekt ausgefüllt sind!"
#Common / Level high,,,,device.settings.detection.sensitivity.high,sensitivity_high,High,高,高,สูง,Hoch
#Common / Level low,,,,device.settings.detection.sensitivity.low,sensitivity_low,Low,低,低,ต่ำ,Niedrig
#Common / Level medium,,,,device.settings.detection.sensitivity.middle,sensitivity_medium,Medium,中,中,ปานกลาง,Medium
#Common / Level title,,,,device.settings.detection.sensitivity.header,sensitivity_level,Sensitivity,靈敏度,灵敏度,ความไว,Empfindlichkeit
#Common / no,"Notification settings screen, User profile edit screen, Any OOBE setup screen quit dialog, Crying settings screen, Device settings, Galery media note dialog, e-Fence settings screen discard settings confirmation dialog, Home screen new firmware release dialog, Device images to upload grid screen discard upload confirmation dialog",,,oobe.no,no,No,取消,取消,เลขที่,NEIN
#Common / off,"Device settings, Detection settings screen",,,off,off_selection,Off,關,关,ปิด,Aus
#Common / ok,"General confirmation message, can be shown anywhere where confirmation is required",,,Ok,ok,Ok,確定,确定,ตกลง,OK
#Common / on,"Detection settings screen, Device settings",,,on,on_selection,On,開,开,บน,An
#common / pixsee,,,,CFBundleName,,Pixsee,Pixsee,Pixsee,Pixsee,Pixsee
#Common / save,"e-Fence settings screen, Sensor settings screen, Crying settings screen",,,save,save,Save,儲存,保存,บันทึก,Speichern
#Common / unknow error,"General error message, can be shown anywhere where requests are made",,,general.error,general_error,An unknown error occurred,發生未知錯誤,发生未知错误,เกิดข้อผิดพลาดที่ไม่รู้จัก,Es ist ein unbekannter Fehler aufgetreten
#Common / yes,"Any OOBE setup screen quit dialog, Baby profile settings confirm delete baby dialog, Delete device screen device successfully deleted dialog, Profile Settings screen confirm disconnect device dialog, User profile edit screen confirm user deletion dialog, Home screen version upgrade dialog, Home screen call upgrade dialog, Profile Settings screen call upgrade dialog, Special card view / edit screen share dialog, Device images to upload grid screen confirm discard dialog, Crying settings screen try again dialog, e-Fence settings screen discard settigns confirmation dialog, e-Fence settings screen save settigns confirmation dialog, Sensor settings screen retry dialog",,,oobe.yes,yes,Yes,確定,确定,ใช่,Ja
